type,num,
上海,266,
北京,251,
广州,201,
深圳,163,
武汉,153,
西安,139,
成都,132,
杭州,122,
合肥,88,
长沙,83,
昆明,80,
南昌,68,s
大连,66,
福州,61,
郑州,61,
青岛,59,
沈阳,58,
济南,58,
哈尔滨,58,
南宁,58,
南京,56,
宁波,48,
东莞,48,
石家庄,45,
苏州,42,
无锡,40,
珠海,34,
佛山,34,
长春,34,
重庆,33,
常州,25,
天津,24,
太原,22,
惠州,22,
兰州,18,
贵阳,15,
南通,14,
厦门,11,
徐州,10,
海口,9,
温州,9,
扬州,8,
乌鲁木齐,7,
潍坊,5,
保定,5,
银川,5,
呼和浩特,5,
柳州,4,
株洲,4,
西宁,4,
桂林,3,
泉州,3,
唐山,3,
秦皇岛,3,
昆山,3,
嘉兴,2,
上饶,2,
赣州,2,
洛阳,2,
芜湖,2,
拉萨,2,
烟台,2,
衡阳,2,
廊坊,2,
沧州,2,
