avg,date,type
266,2020-05-08,上海
256,2020-05-09,上海
270,2020-05-10,上海
276,2020-05-11,上海
270,2020-05-12,上海
283,2020-05-13,上海
280,2020-05-14,上海
284,2020-05-15,上海
277,2020-05-16,上海
282,2020-05-17,上海
295,2020-05-18,上海
299,2020-05-19,上海
303,2020-05-20,上海
294,2020-05-21,上海
309,2020-05-22,上海
315,2020-05-23,上海
331,2020-05-24,上海
344,2020-05-25,上海
337,2020-05-26,上海
335,2020-05-27,上海
330,2020-05-28,上海
324,2020-05-29,上海
331,2020-05-30,上海
342,2020-05-31,上海
353,2020-06-01,上海
353,2020-06-02,上海
361,2020-06-03,上海
373,2020-06-04,上海
388,2020-06-05,上海
379,2020-06-06,上海
377,2020-06-07,上海
383,2020-06-08,上海
375,2020-06-09,上海
381,2020-06-10,上海
369,2020-06-11,上海
360,2020-06-12,上海
376,2020-06-13,上海
381,2020-06-14,上海
397,2020-06-15,上海
410,2020-06-16,上海
420,2020-06-17,上海
415,2020-06-18,上海
422,2020-06-19,上海
431,2020-06-20,上海
441,2020-06-21,上海
439,2020-06-22,上海
433,2020-06-23,上海
436,2020-06-24,上海
443,2020-06-25,上海
456,2020-06-26,上海
454,2020-06-27,上海
455,2020-06-28,上海
453,2020-06-29,上海
466,2020-06-30,上海
454,2020-07-01,上海
465,2020-07-02,上海
470,2020-07-03,上海
466,2020-07-04,上海
454,2020-07-05,上海
454,2020-07-06,上海
440,2020-07-07,上海
426,2020-07-08,上海
251,2020-05-08,北京
252,2020-05-09,北京
256,2020-05-10,北京
259,2020-05-11,北京
268,2020-05-12,北京
278,2020-05-13,北京
270,2020-05-14,北京
279,2020-05-15,北京
274,2020-05-16,北京
262,2020-05-17,北京
264,2020-05-18,北京
273,2020-05-19,北京
262,2020-05-20,北京
252,2020-05-21,北京
264,2020-05-22,北京
278,2020-05-23,北京
281,2020-05-24,北京
294,2020-05-25,北京
302,2020-05-26,北京
290,2020-05-27,北京
296,2020-05-28,北京
291,2020-05-29,北京
301,2020-05-30,北京
313,2020-05-31,北京
319,2020-06-01,北京
322,2020-06-02,北京
326,2020-06-03,北京
338,2020-06-04,北京
338,2020-06-05,北京
336,2020-06-06,北京
323,2020-06-07,北京
337,2020-06-08,北京
326,2020-06-09,北京
335,2020-06-10,北京
326,2020-06-11,北京
327,2020-06-12,北京
329,2020-06-13,北京
320,2020-06-14,北京
308,2020-06-15,北京
305,2020-06-16,北京
305,2020-06-17,北京
303,2020-06-18,北京
298,2020-06-19,北京
291,2020-06-20,北京
299,2020-06-21,北京
296,2020-06-22,北京
305,2020-06-23,北京
309,2020-06-24,北京
310,2020-06-25,北京
317,2020-06-26,北京
311,2020-06-27,北京
317,2020-06-28,北京
323,2020-06-29,北京
314,2020-06-30,北京
302,2020-07-01,北京
307,2020-07-02,北京
311,2020-07-03,北京
304,2020-07-04,北京
306,2020-07-05,北京
296,2020-07-06,北京
305,2020-07-07,北京
312,2020-07-08,北京
201,2020-05-08,广州
214,2020-05-09,广州
217,2020-05-10,广州
209,2020-05-11,广州
216,2020-05-12,广州
220,2020-05-13,广州
222,2020-05-14,广州
235,2020-05-15,广州
228,2020-05-16,广州
231,2020-05-17,广州
243,2020-05-18,广州
232,2020-05-19,广州
236,2020-05-20,广州
227,2020-05-21,广州
224,2020-05-22,广州
217,2020-05-23,广州
224,2020-05-24,广州
221,2020-05-25,广州
211,2020-05-26,广州
223,2020-05-27,广州
212,2020-05-28,广州
203,2020-05-29,广州
194,2020-05-30,广州
188,2020-05-31,广州
194,2020-06-01,广州
199,2020-06-02,广州
189,2020-06-03,广州
192,2020-06-04,广州
190,2020-06-05,广州
198,2020-06-06,广州
209,2020-06-07,广州
207,2020-06-08,广州
211,2020-06-09,广州
221,2020-06-10,广州
211,2020-06-11,广州
207,2020-06-12,广州
209,2020-06-13,广州
222,2020-06-14,广州
219,2020-06-15,广州
218,2020-06-16,广州
228,2020-06-17,广州
219,2020-06-18,广州
229,2020-06-19,广州
242,2020-06-20,广州
240,2020-06-21,广州
235,2020-06-22,广州
248,2020-06-23,广州
261,2020-06-24,广州
259,2020-06-25,广州
248,2020-06-26,广州
260,2020-06-27,广州
261,2020-06-28,广州
271,2020-06-29,广州
263,2020-06-30,广州
266,2020-07-01,广州
278,2020-07-02,广州
267,2020-07-03,广州
263,2020-07-04,广州
272,2020-07-05,广州
274,2020-07-06,广州
287,2020-07-07,广州
277,2020-07-08,广州
163,2020-05-08,深圳
157,2020-05-09,深圳
153,2020-05-10,深圳
155,2020-05-11,深圳
165,2020-05-12,深圳
174,2020-05-13,深圳
179,2020-05-14,深圳
174,2020-05-15,深圳
183,2020-05-16,深圳
179,2020-05-17,深圳
