avg,date,type
64,2020-05-08,产品
70,2020-05-09,产品
74,2020-05-10,产品
73,2020-05-11,产品
78,2020-05-12,产品
82,2020-05-13,产品
79,2020-05-14,产品
78,2020-05-15,产品
79,2020-05-16,产品
79,2020-05-17,产品
82,2020-05-18,产品
86,2020-05-19,产品
82,2020-05-20,产品
80,2020-05-21,产品
85,2020-05-22,产品
90,2020-05-23,产品
93,2020-05-24,产品
89,2020-05-25,产品
95,2020-05-26,产品
95,2020-05-27,产品
90,2020-05-28,产品
95,2020-05-29,产品
95,2020-05-30,产品
100,2020-05-31,产品
105,2020-06-01,产品
109,2020-06-02,产品
104,2020-06-03,产品
102,2020-06-04,产品
104,2020-06-05,产品
109,2020-06-06,产品
115,2020-06-07,产品
115,2020-06-08,产品
117,2020-06-09,产品
121,2020-06-10,产品
118,2020-06-11,产品
117,2020-06-12,产品
113,2020-06-13,产品
117,2020-06-14,产品
112,2020-06-15,产品
109,2020-06-16,产品
109,2020-06-17,产品
104,2020-06-18,产品
104,2020-06-19,产品
104,2020-06-20,产品
105,2020-06-21,产品
110,2020-06-22,产品
112,2020-06-23,产品
117,2020-06-24,产品
113,2020-06-25,产品
111,2020-06-26,产品
106,2020-06-27,产品
112,2020-06-28,产品
118,2020-06-29,产品
117,2020-06-30,产品
121,2020-07-01,产品
117,2020-07-02,产品
113,2020-07-03,产品
117,2020-07-04,产品
115,2020-07-05,产品
113,2020-07-06,产品
119,2020-07-07,产品
120,2020-07-08,产品
16,2020-05-08,高级管理
19,2020-05-09,高级管理
20,2020-05-10,高级管理
23,2020-05-11,高级管理
21,2020-05-12,高级管理
20,2020-05-13,高级管理
20,2020-05-14,高级管理
22,2020-05-15,高级管理
23,2020-05-16,高级管理
24,2020-05-17,高级管理
23,2020-05-18,高级管理
26,2020-05-19,高级管理
29,2020-05-20,高级管理
27,2020-05-21,高级管理
26,2020-05-22,高级管理
27,2020-05-23,高级管理
25,2020-05-24,高级管理
27,2020-05-25,高级管理
26,2020-05-26,高级管理
26,2020-05-27,高级管理
26,2020-05-28,高级管理
26,2020-05-29,高级管理
28,2020-05-30,高级管理
28,2020-05-31,高级管理
29,2020-06-01,高级管理
28,2020-06-02,高级管理
28,2020-06-03,高级管理
27,2020-06-04,高级管理
29,2020-06-05,高级管理
32,2020-06-06,高级管理
30,2020-06-07,高级管理
32,2020-06-08,高级管理
34,2020-06-09,高级管理
37,2020-06-10,高级管理
39,2020-06-11,高级管理
40,2020-06-12,高级管理
40,2020-06-13,高级管理
43,2020-06-14,高级管理
41,2020-06-15,高级管理
43,2020-06-16,高级管理
44,2020-06-17,高级管理
43,2020-06-18,高级管理
42,2020-06-19,高级管理
43,2020-06-20,高级管理
43,2020-06-21,高级管理
45,2020-06-22,高级管理
47,2020-06-23,高级管理
45,2020-06-24,高级管理
43,2020-06-25,高级管理
42,2020-06-26,高级管理
40,2020-06-27,高级管理
43,2020-06-28,高级管理
43,2020-06-29,高级管理
41,2020-06-30,高级管理
39,2020-07-01,高级管理
41,2020-07-02,高级管理
42,2020-07-03,高级管理
41,2020-07-04,高级管理
42,2020-07-05,高级管理
40,2020-07-06,高级管理
40,2020-07-07,高级管理
41,2020-07-08,高级管理
425,2020-05-08,后端
417,2020-05-09,后端
402,2020-05-10,后端
396,2020-05-11,后端
373,2020-05-12,后端
355,2020-05-13,后端
357,2020-05-14,后端
361,2020-05-15,后端
377,2020-05-16,后端
386,2020-05-17,后端
370,2020-05-18,后端
360,2020-05-19,后端
372,2020-05-20,后端
397,2020-05-21,后端
406,2020-05-22,后端
408,2020-05-23,后端
426,2020-05-24,后端
424,2020-05-25,后端
428,2020-05-26,后端
444,2020-05-27,后端
424,2020-05-28,后端
450,2020-05-29,后端
448,2020-05-30,后端
