avg,date,type
14655.88119,2020-05-08,上海
14323.88119,2020-05-09,上海
14486.88119,2020-05-10,上海
14713.88119,2020-05-11,上海
15063.88119,2020-05-12,上海
14709.88119,2020-05-13,上海
14987.88119,2020-05-14,上海
14683.88119,2020-05-15,上海
14966.88119,2020-05-16,上海
15135.88119,2020-05-17,上海
15015.88119,2020-05-18,上海
14870.88119,2020-05-19,上海
15065.88119,2020-05-20,上海
14897.88119,2020-05-21,上海
15226.88119,2020-05-22,上海
15052.88119,2020-05-23,上海
15300.88119,2020-05-24,上海
14874.88119,2020-05-25,上海
15267.88119,2020-05-26,上海
15774.88119,2020-05-27,上海
15823.88119,2020-05-28,上海
15577.88119,2020-05-29,上海
15749.88119,2020-05-30,上海
16233.88119,2020-05-31,上海
16249.88119,2020-06-01,上海
16419.88119,2020-06-02,上海
16229.88119,2020-06-03,上海
15891.88119,2020-06-04,上海
15460.88119,2020-06-05,上海
15391.88119,2020-06-06,上海
15516.88119,2020-06-07,上海
15896.88119,2020-06-08,上海
15562.88119,2020-06-09,上海
15857.88119,2020-06-10,上海
15991.88119,2020-06-11,上海
16158.88119,2020-06-12,上海
16009.88119,2020-06-13,上海
16252.88119,2020-06-14,上海
16058.88119,2020-06-15,上海
16172.88119,2020-06-16,上海
15973.88119,2020-06-17,上海
16102.88119,2020-06-18,上海
16238.88119,2020-06-19,上海
16631.88119,2020-06-20,上海
17074.88119,2020-06-21,上海
17249.88119,2020-06-22,上海
16929.88119,2020-06-23,上海
16528.88119,2020-06-24,上海
16646.88119,2020-06-25,上海
16577.88119,2020-06-26,上海
16847.88119,2020-06-27,上海
16923.88119,2020-06-28,上海
17461.88119,2020-06-29,上海
17108.88119,2020-06-30,上海
17072.88119,2020-07-01,上海
16923.88119,2020-07-02,上海
16500.88119,2020-07-03,上海
16439.88119,2020-07-04,上海
16434.88119,2020-07-05,上海
16424.88119,2020-07-06,上海
16145.88119,2020-07-07,上海
16272.88119,2020-07-08,上海
18830.603769999998,2020-05-08,北京
18262.603769999998,2020-05-09,北京
18086.603769999998,2020-05-10,北京
17452.603769999998,2020-05-11,北京
16883.603769999998,2020-05-12,北京
16457.603769999998,2020-05-13,北京
16008.603769999998,2020-05-14,北京
15706.603769999998,2020-05-15,北京
15845.603769999998,2020-05-16,北京
15418.603769999998,2020-05-17,北京
15000.603769999998,2020-05-18,北京
15466.603769999998,2020-05-19,北京
14914.603769999998,2020-05-20,北京
15012.603769999998,2020-05-21,北京
14764.603769999998,2020-05-22,北京
14302.603769999998,2020-05-23,北京
14504.603769999998,2020-05-24,北京
14934.603769999998,2020-05-25,北京
14433.603769999998,2020-05-26,北京
14028.603769999998,2020-05-27,北京
13995.603769999998,2020-05-28,北京
14249.603769999998,2020-05-29,北京
14939.603769999998,2020-05-30,北京
15206.603769999998,2020-05-31,北京
15246.603769999998,2020-06-01,北京
15615.603769999998,2020-06-02,北京
15521.603769999998,2020-06-03,北京
15973.603769999998,2020-06-04,北京
16455.603769999998,2020-06-05,北京
17001.603769999998,2020-06-06,北京
16406.603769999998,2020-06-07,北京
16803.603769999998,2020-06-08,北京
16826.603769999998,2020-06-09,北京
16308.603769999998,2020-06-10,北京
16898.603769999998,2020-06-11,北京
16551.603769999998,2020-06-12,北京
16799.603769999998,2020-06-13,北京
16344.603769999998,2020-06-14,北京
15931.603769999998,2020-06-15,北京
16274.603769999998,2020-06-16,北京
16382.603769999998,2020-06-17,北京
15861.603769999998,2020-06-18,北京
16413.603769999998,2020-06-19,北京
16459.603769999998,2020-06-20,北京
15940.603769999998,2020-06-21,北京
16192.603769999998,2020-06-22,北京
15572.603769999998,2020-06-23,北京
15190.603769999998,2020-06-24,北京
15001.603769999998,2020-06-25,北京
15687.603769999998,2020-06-26,北京
15274.603769999998,2020-06-27,北京
15955.603769999998,2020-06-28,北京
16458.603769999998,2020-06-29,北京
16043.603769999998,2020-06-30,北京
15982.603769999998,2020-07-01,北京
15762.603769999998,2020-07-02,北京
16191.603769999998,2020-07-03,北京
16715.603769999998,2020-07-04,北京
16384.603769999998,2020-07-05,北京
17043.603769999998,2020-07-06,北京
17000.603769999998,2020-07-07,北京
16412.603769999998,2020-07-08,北京
9776.521182999999,2020-05-08,广州
10022.521182999999,2020-05-09,广州
10123.521182999999,2020-05-10,广州
9929.521182999999,2020-05-11,广州
9906.521182999999,2020-05-12,广州
9646.521182999999,2020-05-13,广州
9911.521182999999,2020-05-14,广州
10029.521182999999,2020-05-15,广州
10308.521182999999,2020-05-16,广州
10090.521182999999,2020-05-17,广州
10184.521182999999,2020-05-18,广州
9955.521182999999,2020-05-19,广州
9707.521182999999,2020-05-20,广州
9722.521182999999,2020-05-21,广州
9564.521182999999,2020-05-22,广州
9641.521182999999,2020-05-23,广州
9752.521182999999,2020-05-24,广州
9739.521182999999,2020-05-25,广州
9913.521182999999,2020-05-26,广州
9740.521182999999,2020-05-27,广州
9465.521182999999,2020-05-28,广州
9568.521182999999,2020-05-29,广州
9794.521182999999,2020-05-30,广州
9809.521182999999,2020-05-31,广州
10058.521182999999,2020-06-01,广州
9786.521182999999,2020-06-02,广州
9827.521182999999,2020-06-03,广州
9778.521182999999,2020-06-04,广州
9919.521182999999,2020-06-05,广州
9807.521182999999,2020-06-06,广州
9599.521182999999,2020-06-07,广州
9543.521182999999,2020-06-08,广州
9537.521182999999,2020-06-09,广州
9522.521182999999,2020-06-10,广州
9360.521182999999,2020-06-11,广州
9188.521182999999,2020-06-12,广州
9159.521182999999,2020-06-13,广州
9210.521182999999,2020-06-14,广州
9126.521182999999,2020-06-15,广州
9448.521182999999,2020-06-16,广州
9491.521182999999,2020-06-17,广州
9578.521182999999,2020-06-18,广州
9710.521182999999,2020-06-19,广州
9675.521182999999,2020-06-20,广州
9877.521182999999,2020-06-21,广州
9911.521182999999,2020-06-22,广州
9826.521182999999,2020-06-23,广州
9859.521182999999,2020-06-24,广州
10112.521182999999,2020-06-25,广州
10473.521182999999,2020-06-26,广州
10203.521182999999,2020-06-27,广州
10190.521182999999,2020-06-28,广州
10464.521182999999,2020-06-29,广州
10693.521182999999,2020-06-30,广州
10523.521182999999,2020-07-01,广州
10767.521182999999,2020-07-02,广州
10786.521182999999,2020-07-03,广州
11021.521182999999,2020-07-04,广州
11224.521182999999,2020-07-05,广州
11087.521182999999,2020-07-06,广州
11023.521182999999,2020-07-07,广州
11339.521182999999,2020-07-08,广州
11938.15345,2020-05-08,深圳
11991.15345,2020-05-09,深圳
12390.15345,2020-05-10,深圳
12446.15345,2020-05-11,深圳
12188.15345,2020-05-12,深圳
11962.15345,2020-05-13,深圳
12060.15345,2020-05-14,深圳
12263.15345,2020-05-15,深圳
12519.15345,2020-05-16,深圳
12804.15345,2020-05-17,深圳
12448.15345,2020-05-18,深圳
12752.15345,2020-05-19,深圳
12609.15345,2020-05-20,深圳
12832.15345,2020-05-21,深圳
12749.15345,2020-05-22,深圳
13024.15345,2020-05-23,深圳
13387.15345,2020-05-24,深圳
13677.15345,2020-05-25,深圳
13583.15345,2020-05-26,深圳
13743.15345,2020-05-27,深圳
14023.15345,2020-05-28,深圳
13971.15345,2020-05-29,深圳
13585.15345,2020-05-30,深圳
13792.15345,2020-05-31,深圳
13488.15345,2020-06-01,深圳
13641.15345,2020-06-02,深圳
13639.15345,2020-06-03,深圳
14058.15345,2020-06-04,深圳
14115.15345,2020-06-05,深圳
13794.15345,2020-06-06,深圳
14143.15345,2020-06-07,深圳
14593.15345,2020-06-08,深圳
15038.15345,2020-06-09,深圳
14756.15345,2020-06-10,深圳
14553.15345,2020-06-11,深圳
14312.15345,2020-06-12,深圳
14714.15345,2020-06-13,深圳
14360.15345,2020-06-14,深圳
14802.15345,2020-06-15,深圳
14518.15345,2020-06-16,深圳
14260.15345,2020-06-17,深圳
14674.15345,2020-06-18,深圳
14929.15345,2020-06-19,深圳
14580.15345,2020-06-20,深圳
14993.15345,2020-06-21,深圳
14821.15345,2020-06-22,深圳
15005.15345,2020-06-23,深圳
14879.15345,2020-06-24,深圳
14997.15345,2020-06-25,深圳
14985.15345,2020-06-26,深圳
14745.15345,2020-06-27,深圳
14948.15345,2020-06-28,深圳
15161.15345,2020-06-29,深圳
14796.15345,2020-06-30,深圳
14877.15345,2020-07-01,深圳
14880.15345,2020-07-02,深圳
14724.15345,2020-07-03,深圳
14515.15345,2020-07-04,深圳
14203.15345,2020-07-05,深圳
14490.15345,2020-07-06,深圳
14582.15345,2020-07-07,深圳
14524.15345,2020-07-08,深圳
9026.413138,2020-05-08,武汉
8823.413138,2020-05-09,武汉
9109.413138,2020-05-10,武汉
9439.413138,2020-05-11,武汉
9150.413138,2020-05-12,武汉
9265.413138,2020-05-13,武汉
9094.413138,2020-05-14,武汉
9227.413138,2020-05-15,武汉
9480.413138,2020-05-16,武汉
9247.413138,2020-05-17,武汉
9250.413138,2020-05-18,武汉
9342.413138,2020-05-19,武汉
9207.413138,2020-05-20,武汉
9039.413138,2020-05-21,武汉
